"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ABCA2",658.249485058456,-0.0911028740374385,0.171586352889745,-0.530944754656437,0.595457062965627,0.717753235283563
"ABCA3",1704.04666435927,-0.713576261739091,0.20336135611364,-3.50890786418801,0.000449950747739996,0.00183849676633325
"ABCA4",17.4450021088678,-0.43929495435935,0.551614807922487,-0.796379915930538,0.425811248188433,0.569953106243663
"ABCA5",254.361010120855,-1.23114944277195,0.213317091685829,-5.77145240937924,7.85911564071418e-09,8.03534317091823e-08
"ABCA6",688.243619496067,-1.40826271193052,0.565696254891119,-2.48943262352261,0.0127947167369366,0.0346194449650875
"ABCA7",87.2601276024866,-0.0382797651192307,0.286514695458275,-0.13360489261468,0.893715015132594,0.933178709577759
"ABCA8",219.592253911591,-1.42593347416495,0.375135666560442,-3.80111410690192,0.000144046942896271,0.000665456299577138
"ABCA9",168.04162419998,-1.2923398631587,0.292144377957608,-4.42363420509234,9.70542949370825e-06,5.83415944972069e-05
"ABCB1",85.9468535666838,0.452169435745669,0.306706756961063,1.47427282080738,0.14040814998956,0.247890701873387
"ABCB10",676.270524892377,-0.381624107713055,0.179820020685454,-2.12225594379506,0.0338162509388122,0.0784941535317526
"ABCB11",7.8002397376655,-1.73513835438606,0.782930660581531,-2.21620948283883,0.0266771587368579,0.0643009008027429
"ABCB4",13.9915329417967,0.997815436229629,0.752394992547822,1.32618564200002,0.184778213954635,0.306265524799208
"ABCB6",245.247161767825,-0.834611461302432,0.201836882883578,-4.13507902707676,3.5483250815993e-05,0.000188894564829648
"ABCB7",746.358821090068,0.0794183454409962,0.163548834633653,0.485594077260728,0.627254996539592,0.743789425278787
"ABCB8",200.472422697608,-0.659775224190632,0.233778766498534,-2.82222048679845,0.00476923756265203,0.0147981713570479
"ABCB9",132.929649950647,-0.404711325633724,0.218659998206836,-1.8508704333332,0.0641881952257722,0.132709550438319
"ABCC1",1803.74374258505,0.342721052358876,0.155019298625273,2.21082829943215,0.0270477293460897,0.0650783984834454
"ABCC1_1",1029.20224042996,0.339923953106498,0.16795506320265,2.02389821792008,0.042980625345796,0.0957447690910403
"ABCC10",198.542377555755,-1.07680405649775,0.250622397726539,-4.2965196497429,1.73500595217476e-05,9.93050409328061e-05
"ABCC2",42.3706007665689,0.0620965712322784,0.343386498175715,0.180835797453233,0.856496464001335,0.907645236682186
"ABCC3",6.35467721617219,0.337399460763639,0.856692776238121,0.393839507139555,0.693699534347888,0.794630413479336
"ABCC4",1748.69896356928,0.587801933289662,0.174731480320076,3.36402995163158,0.000768132065545908,0.00297577666035348
"ABCC5",378.829975056378,-0.366290787827397,0.202601477854951,-1.80793739367309,0.0706162450475487,0.14373128217886
"ABCC6",3.63394265767231,-0.630122140014164,1.06301899390846,-0.592766586133482,0.553337372443553,0.683263635072688
"ABCC6_1",6.20829063133884,-0.243032791690662,1.02858077091858,-0.236279734719928,0.813215611143051,0.877696246056952
"ABCC6P2",1.83231279825708,3.17677339131228,2.01124178070778,1.57950845183533,0.114219479444351,0.210988040147182
"ABCC9",1.79196977134931,2.22392180166265,2.02760952498242,1.09681956721028,0.272720274762836,0.4116410233487
"ABCD1",201.317464472728,0.297851058376589,0.21166700320891,1.40716811718932,0.159377543327885,0.273558696039355
