Condition,DPD_FSS,DPD_remod,DPD_OSS
CTL_PSS_vs_CTL_STAT,9.537553652262694,-45.42251531058524,-48.07870351614763
HSS_vs_STAT,73.1738233311086,45.42926362486058,-48.03394092178918
LSS_vs_STAT,-66.64332754177921,45.438379259860824,-48.078709737690104
OSS_vs_STAT,-25.727254124600936,-14.039401769540973,48.06108264945439
PSS_vs_STAT,-9.537553652262694,-45.44512446407238,-48.079567682734634
siCDK2_PSS_vs_CTL_STAT,-11.14265737809956,-17.920646312464573,1.6641888494455301
siCDK2_STAT_vs_CTL_STAT,-19.621050157949313,-17.0557213455114,34.791980378155436
STAT_vs_STAT,-17.53251775582549,-17.730092138322284,34.01269912696576
