Symbol,norm_vec_FSS,norm_vec_remod,norm_vec_OSS
TMEM100,0.010996337187453839,0.01827586585943559,0.056435904124598694
GALNT15,-0.0014406724698279496,-0.005752464352050385,0.05611615066041037
LINC02880,0.041404331072227796,0.015287412395912001,0.054955202240290615
GPR183,-0.030052061849861998,-0.003679089813698776,0.05469019133070228
LOC105373585,-0.007641819266825561,-0.007400710599102888,0.05030887058712379
E2F2_1,0.02514196423003799,0.040773483847673236,0.047541610797446315
INHBB,0.009886523715540359,-0.009460378436376331,0.047237688035093386
LOC107986898,0.0,-0.029124691507031397,0.04653060048614681
LINC02705,-0.0026237348617463114,0.006902072051383709,0.04543515407536808
KIT,0.004197181546825558,-0.015515281381281483,0.044390167092000575
NODAL,0.0,0.0,0.04424112744184934
APLN,0.01157425282374684,-0.012848862128152418,0.0426488128671355
HTR1B,0.0022426810753904797,-0.009599760236381856,0.042398226786936936
KCNJ5,-9.896125509923146e-05,0.007267693028174419,0.04237000440830385
LINC00693,0.0,-0.026930328240417623,0.04188531751842322
LINC01132,-0.012262181056170012,-0.0049459282181226845,0.04169325801295951
KCNF1,0.0,-0.011096476352283464,0.04161186257918943
LOC124903633,0.034397302346094914,-0.0032687934789262063,0.04125716983675408
LINC01354,0.02511523172228422,0.008109530340162714,0.04059267787330255
RTP4_1,0.006549499934877956,0.00040086618145308026,0.04058854059120431
GJA4,0.007315399105795442,-0.006118243025703635,0.04050675777482817
MS4A2,0.024616368394864953,0.02116283537457057,0.040248168958241744
LOC105378764,0.03636950385027226,-0.007065978656015833,0.04002239308072049
KLHDC8A,0.0352174327560077,-0.013848123618568992,0.03920397643004314
ABCA1,-0.003532063726029064,-0.000994010934042238,0.03768401534561797
LOC102724682,0.0,0.0,0.03732308438675023
HEY2,0.0021417717927904667,0.004907851005755356,0.03641522713394453
PEG13,0.01257462679089355,0.0014711929599599356,0.03628209328986638
LOC107986819,0.0,0.05350287138472588,0.035666597390828565
LINC02587,0.0034067117300022407,-0.01826799559834153,0.035295757279019215
DEPP1,0.00706663409620888,-0.030451519370353588,0.03491982422240229
LINC01629,0.0,-0.024413111067591017,0.03475343575436404
E2F2,0.008470459993189454,-0.0015448486569048171,0.034556284097022376
PKNOX2,0.000601686489158986,-0.0022182685027049144,0.03436851613746738
FSTL5,0.019417163465491643,0.016127999246741236,0.034212916786490855
MT1X,0.0,-0.005390989828576991,0.03418981660085748
LOC124902280,0.0,0.0,0.03417722774611349
LINC01018,0.00465714442988328,-0.02046071899146086,0.03412607191703787
TRAF3IP3,0.0,-0.03544051871641567,0.033669200615220427
CD69,0.0,0.0333662611028439,0.03327872059932148
GIMAP8,-0.00593952026720517,-0.005694344465177829,0.032779601012287385
MIR4645,0.030536798287993435,0.010336428223214358,0.032583871651540745
LEF1,0.02766563909480805,-0.016184717373029272,0.03246485660164066
KIF19,0.020040491949364005,-0.019479414106241547,0.03227899972199771
CXCL11,-0.001988001337126369,-0.004815667660612336,0.032145128562474416
FAM111B,0.020955139587764265,0.003617111356848542,0.031929658666738775
CREG2,0.0058948399144033905,-0.0007531590262390228,0.03191486558592777
RIPOR2,0.02086457381791546,0.004630035784476238,0.031621061491878544
PSMB9_2,0.0,0.031416859720919364,0.03133443371248571
LOC124901783,0.0,0.0,0.031123564893514113
LOC124901256,-0.052307370853889486,0.011783333705953622,0.03104033944979391
LOC101927057,-0.03302528751641941,0.006379800455216033,0.03088670644903305
ACSM1,0.03256431548892597,-0.011763102987221257,0.030412873369661853
LOC105375446,-0.01605440517315755,-0.0011081186632548353,0.030324047290075987
LCP1,0.01651048030104943,0.00462513140725266,0.03014093818661294
LOC124900756,0.0,0.030081098193429114,0.03000217672020071
TREH,0.0,-0.019660788694548615,0.029810091747791184
LOC124904196,0.0,-0.013063067353341007,0.029773629687231868
LOC124902149,0.0,0.03948957894764231,0.029737427086964946
CCDC190,0.003987522740221355,0.007866701884546244,0.02953705259521839
LOC124907749,0.0015874730278840183,0.013809730119574976,0.029499428092243592
GPRIN3,-0.007395401266501531,-0.006674230480304756,0.029469919955512156
NPHP3-AS1,0.02431195796027146,0.00525029206484266,0.028890034916981656
ATRNL1,0.0,-0.021475835841174185,0.028234928963803644
SPTA1,0.004820902295685639,-0.0017616832839237916,0.02763189047094999
TMPRSS13,0.0,0.04129745839910121,0.02745295717510397
TRBJ2-1,0.014282739832743698,0.013561562947177353,0.027428757356941665
SNORD74,0.02917760959013319,-0.010413893989203777,0.02737542853788301
ZNF488,0.022134401054915733,0.007992638709700793,0.027348936829138654
PSMB9_7,0.01260713184371816,0.010985696144799334,0.027273169917010016
FLVCR2,0.00408574811837432,-0.016744327216363104,0.027011322793324244
DGAT2,-0.0026102232969367305,0.0015031599137199328,0.02700113853149929
ACKR4,0.008257201969488644,0.0015342972378655348,0.026810208398769672
BTBD11,0.0,-0.011545304190812063,0.026700011008445153
SNTB1,-0.0029940704662476635,-0.005305174444525913,0.026664200982635756
LOC100129534,-0.004472268569718532,-0.026701106476734446,0.026649554261762493
GNRHR,0.041299477066075875,-0.012547860009419506,0.026594677229733476
ITPRID1,0.0,0.026568559538203248,0.02649885364359699
AATBC,-0.0021029723104058476,-0.0010551955761570855,0.026389080816101636
LOC105370353,0.0052878355762677395,0.0150894213092037,0.02625424014407438
LOC105371711,0.0,0.0,0.02620016120936426
MS4A6A,0.006548614931065352,0.0019607827173448444,0.02610274649360733
FAM13A-AS1,0.0,0.0,0.02609928680342211
CX3CL1,0.013264515532993673,0.00881531548605541,0.025959277107039845
