"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ABHD17A",1293.03739188693,0.0194605082344132,0.217957707052767,0.0892857082117399,0.928854851898679,0.967919922642223
"ABHD17B",685.197093395295,-0.139712392346531,0.206287023230881,-0.677271842689598,0.498233492582559,0.713179687870123
"ABHD17C",611.849241195831,0.667775665134455,0.493387196533195,1.35345154845243,0.175911418826468,0.391311847557276
"ABHD18",319.738899706079,-0.237698822447637,0.382654874516936,-0.621183312371776,0.534479017921306,0.740147907834492
"ABHD2",3315.25391014223,-0.055826342536327,0.328179298055489,-0.170109275225788,0.864924199255102,0.936168770741647
"ABHD3",233.756889344545,0.692413295680967,0.34095347584721,2.03081459709551,0.0422738057137177,0.158686553629463
"ABHD4",2201.67574626388,0.520549016577003,0.438964722772722,1.1858561510113,0.235679112230506,0.466188646417259
"ABHD5",974.324223895635,0.776049050764735,0.331168946415111,2.34336298486144,0.0191107801483461,0.0923092205346339
"ABHD6",197.83175256749,-1.87316637350341,0.386999055281755,-4.84023500300187,1.29685680266853e-06,5.96835951282657e-05
"ABHD8",128.7047369904,-1.33675178832119,0.401013575719256,-3.33343275454852,0.000857814046700567,0.010148322366845
"ABI1",3168.62574021491,0.423042575232559,0.242887491892887,1.74172235851124,0.0815570382162274,0.240560669402231
"ABI2",2002.10762758079,-0.642835381351891,0.223251742415805,-2.87941932455163,0.00398408215954585,0.0312149432527839
"ABI3",871.006026758713,-0.566063948093435,0.457467249566815,-1.23738682633446,0.215943507171366,0.44152075995558
"ABI3BP",4071.39846497516,-0.354881111983241,0.363365160392381,-0.976651453320461,0.328741736796573,0.56627322917429
"ABITRAM",460.316276217302,0.281964205920128,0.172124510164059,1.6381409344397,0.101392297564352,0.277511516798179
"ABL1",5870.19427112584,0.413486033450471,0.238048985732831,1.73697876585174,0.0823909189856412,0.242065071928419
"ABL2",16887.2928678107,1.22005190755185,0.26521140092161,4.60029962253572,4.21883673530753e-06,0.000159714298426949
"ABLIM1",10205.4312265545,-1.5167247692657,0.288135217338755,-5.26393400735363,1.41005081230756e-07,9.52556587621763e-06
"ABLIM2",9.09997174628863,-1.14979239336257,0.623440875420724,-1.84426854043961,0.065144013891536,0.208648560492274
"ABLIM3",1347.13414560766,-1.43839775772052,0.217552374095534,-6.61173091629365,3.79852006626114e-11,8.7494104369615e-09
"ABR",879.828281808339,-0.137224479368909,0.288197743972134,-0.476146958951135,0.633969684200192,0.806510009484912
"ABR_1",1134.14406033338,-0.0729237311381109,0.264771443507701,-0.275421435831655,0.78299247727179,0.892780472385166
"ABR_2",1642.23412836092,-0.102279622760013,0.24873214729971,-0.411203874812251,0.680923047260645,0.834212548383788
"ABRACL",1911.54587724237,1.11186927024029,0.24320183825394,4.57179632449705,4.83560846542617e-06,0.000178469425949841
"ABRAXAS1",468.931044611401,-0.57536067630702,0.277414111449031,-2.07401373095878,0.0380780356517267,0.147722379381029
"ABRAXAS2",1011.16958949383,0.546931021475702,0.186664907613155,2.93001522604969,0.00338945395360917,0.0278542611736288
"ABT1",764.748014664861,0.491883043513671,0.21707568990682,2.26595176882687,0.0234543364513784,0.106660324518899
"ABT1_1",256.65326553394,0.56437053945669,0.231556499444056,2.43729085908487,0.0147977713844723,0.0778063237976737
"ABTB1",146.66135886842,-1.06825830011005,0.352947503417647,-3.02667759302993,0.00247257527844926,0.0221201189393509
"ABTB2",39.7397845302881,0.479385807109174,0.562065778316833,0.852899830594111,0.393714855657028,0.628791309673811
"ACAA1",611.599747114784,-0.256453132062456,0.170906392581454,-1.50054733581853,0.133472681491034,0.331519138321114
"ACAA2",1231.48217424453,0.46236030382173,0.194356283691352,2.37893159428785,0.0173628977205621,0.0864006979788707
"ACACA",1932.44518391587,-0.545818088423718,0.343682083726817,-1.58814821681997,0.112252827405324,0.295874262060576
"ACACA_1",1676.40171180013,-0.547714335877044,0.342388276175323,-1.59968776383156,0.109667867695842,0.291144967866532
"ACACB",61.4433871844886,-1.52379240106751,0.366465556601582,-4.15807808842499,3.20936324332027e-05,0.000814828771391726
"ACAD10",245.806839143145,-0.229720432388939,0.167256927157683,-1.37345840493869,0.169609883691813,0.383189871729156
"ACAD11",6.38775548928095,-0.136030130962713,1.1053093689028,-0.123069734854183,0.902051877144113,0.954420708796345
"ACAD8",451.241782043598,-0.127686448338552,0.193340216436157,-0.660423634007442,0.508982009714677,0.720715517839883
"ACAD9",1035.31402577275,-0.0400635253385212,0.186517098973494,-0.214798136787527,0.829924705622962,0.916875755291143
"ACAD9-DT",7.09036059058988,0.443592337230303,0.8292547301578,0.53492892002665,0.592699009444497,0.779971125767309
"ACADM",1033.16692239807,-0.0860891081874841,0.168998372485588,-0.509407912758601,0.610466331109707,0.790122220442447
"ACADS",114.726177462349,-0.580111956921151,0.322520388676448,-1.79868305164148,0.0720688313926577,0.223332613678313
"ACADSB",520.332240725108,0.271146978978281,0.243821190757292,1.11207306524965,0.266106736488209,0.499992981639467
"ACADVL",3851.08072344876,0.116811649029055,0.248764695178007,0.469566828787617,0.638664528515548,0.808851687233936
"ACAN",5.84009098957024,-2.18572734935685,1.07302691370841,-2.03697346397669,0.0416527012831823,0.157078936227985
"ACAP1",3.37144139419533,-0.794801905838373,1.37475930213399,-0.578138954655285,0.56317030898061,0.759777837545834
"ACAP1_1",12.4486264675904,0.632132528370776,0.836025813016233,0.756116041549188,0.449579624894329,0.675075657298914
"ACAP2",3199.86298080547,0.496742541824715,0.210544375689102,2.35932468012455,0.0183082295546395,0.0897939283287835
"ACAP3",434.448071381931,0.303446879258647,0.327640983515835,0.926156660874452,0.354364571598887,0.591786692332651
"ACAT1",1273.2484844848,0.0655266617092278,0.185663273239362,0.352932815230232,0.724138808864336,0.858657854989995
"ACAT2",1679.94092771671,1.01376648113961,0.441325446036623,2.29709501286151,0.0216133502139705,0.100557827836176
"ACBD3",2347.57944576798,1.15133299205003,0.265239238530666,4.34073404232352,1.4200752201691e-05,0.000431245814819739
"ACBD3-AS1",1.61718738503976,0.277368644077767,1.59006749747061,0.174438282977918,0.861521030033712,NA
"ACBD4",54.4247752374828,-1.95695880433567,0.405817161252181,-4.82226724541987,1.41935605171899e-06,6.38476446982673e-05
"ACBD5",1287.95539313893,0.43976465812656,0.140312103392238,3.13418905065667,0.00172329790548621,0.0168694364347595
"ACBD6",1130.54470166319,0.367152135029259,0.185012885129311,1.98446791839739,0.0472037010797384,0.170015138892697
"ACBD7",44.362023869487,-0.290548556175544,0.56035896501166,-0.518504341533108,0.604106431744262,0.786715262380742
"ACCS",54.0681019991548,-1.78507477611108,0.6634967981523,-2.69040450697296,0.0071365456376689,0.047120236203529
"ACCSL",3.3676004605137,0.908507994594494,1.1819740043712,0.768636189319418,0.442109315550719,0.669113829535991
"ACD",339.052580396833,-0.472719902863821,0.203447037436249,-2.32355264947984,0.0201494827419798,0.0957776755497689
"ACE",3839.42422575665,-0.28913968050766,0.330120494878542,-0.875861041629786,0.381105580847313,0.616776136006004
"ACE2",6.17557155315007,1.82443192177271,0.904972805397717,2.0160074544681,0.0437991962985139,0.16221484595796
"ACER2",147.228247293148,-2.7335438371328,0.364942916056831,-7.49033264344036,6.86992742977054e-14,2.9849834682353e-11
"ACER3",1561.62006504085,-0.0614329733753742,0.230512976239697,-0.26650548866062,0.789849932875433,0.896269647240772
"ACHE",17.1262425446825,0.671152275804045,0.682982652087542,0.982678364893547,0.325765762077631,0.5630584792876
"ACIN1",4072.24118006255,-0.297442165388334,0.142219763705779,-2.09142637871116,0.0364898595944919,0.143474674739799
"ACKR1",16.790901509477,-0.21762437160385,0.700054659817131,-0.310867685190036,0.755901211618835,0.877402668844773
