Symbol,norm_vec_FSS,norm_vec_remod,norm_vec_OSS
KIT,0.02845203353091892,-0.10062828921217443,0.22540159829283812
E2F2,0.05741991597452091,-0.020707323228618697,0.17648810056614703
ELOVL6,0.06987176211180585,-0.016131351464642285,0.11797444403794326
GLI2,0.011000419020851668,-0.009566325531532175,0.11413424167422467
CCL2,0.11412950316375632,0.21226924698531044,0.11173944552253454
PSRC1,-0.02848603339696085,-0.01442684157030511,0.09912741668856806
BDH1,-0.023335856567587045,-0.03348517921036128,0.09093232208427922
IKBKE,-0.0020550616792569,-0.01007905708647285,0.08297932183666992
BMP4,0.0026143771976252367,-0.0013663243426976276,0.08041348179052214
AURKB,0.08639138674075555,0.0076836637305775085,0.07926540981193302
FGFR2,0.0,0.07918006191247587,0.07843899882102058
CCNF,-0.01251897379971408,0.01915894775969533,0.07733938112923319
KIF20A,0.07788279478865637,0.014799046469122081,0.0772347720836685
HMGA2,0.0,0.03613582136736951,0.07719220065876348
PCNA,-0.009447460267660116,-0.016075242910006886,0.07290677313146181
CCNA2,0.05876127214649893,0.03724913620845959,0.07278800637983564
BUB1B,0.07650090299833694,0.012525103842233614,0.070252590091301
TOP2A,0.07642213493908939,0.0019396684271083008,0.0691840209121415
UBE2L6,-0.004742370739394871,-0.0157571870811455,0.0690047175419887
B4GAT1,0.012861374085359409,-0.031374886587984346,0.06794645534828504
HOXA5,-0.04833262182412341,-0.041555622414501475,0.06781314572393307
EDN1,-0.09473652000824283,0.013100958324790562,0.0673186184231867
POLE2,0.00786275942919922,-0.015255642624931579,0.06694756274860975
HOXA10,-0.06383123466203187,-0.009554642554294099,0.06601564021889293
MEST,0.0,0.06550327529123487,0.06489021616352889
SNAP25,-0.07449351754483281,0.02202018364940848,0.06454310733701747
CDC20,0.05824937150280454,0.014089135139590939,0.06379942913162577
PARP1,0.03180720684758753,-0.0080769803970835,0.06369026403477993
PRKX,-0.020068020494320948,-0.01053400439075496,0.06184778126561759
SLC37A4,0.00897107960795316,-0.034412705065883814,0.06141386603717321
GMNN,0.01502895174226925,-0.0321079391545218,0.060275794903660196
ETV1,-0.01449280274645923,-0.011138214921953108,0.05951051708045644
CCNE2,0.017810637083901362,-0.012528546544214514,0.05944666535998171
CCNB1,0.060435010613123986,0.014967111338055178,0.059330070744003136
PLS1,0.04727725902358663,-0.0012008657152428306,0.05796948189149741
LAMA3,0.04953418731235586,0.01735195835394698,0.055408172569331886
JADE2,-0.01700855824024483,0.009301616228868983,0.055049537806523954
ALDH7A1,0.01982630385525821,-0.01919241361852549,0.05462306754082105
NIPSNAP1,0.009987658990888848,-0.011313074005504874,0.05298553767788727
DENND2D,-0.0860718342482103,0.003265967374755092,0.05260566574643454
ENOSF1,0.03963387573405994,0.0017843197686239548,0.051362389204717404
CTNND1,-0.012567027600528647,0.007230399706896676,0.050995191541315564
LYRM1,0.017979932287294564,-0.001903377816942005,0.05044577733498186
EGR1,-0.16640968307954376,0.16419058582050194,0.05030932466796972
NCAPD2,0.047583425014899317,0.015802750882708595,0.04984329964512051
PAICS,0.04454313757604161,0.00606686683095356,0.049651272458013644
CDC45,0.03687739857000038,0.0028933949827616825,0.04901184183936093
PIP4K2B,-0.01243922010353863,-0.029395915740986402,0.048648493632519704
CHEK2,0.03884436514962187,-0.05719375058195746,0.04803014607759772
PHKA1,0.06052893117639399,-0.012012468303377578,0.047436934055912205
CORO1A,0.056184430094726616,-0.024678495619148328,0.045857329684228516
CXCR4,-0.0799171042132123,-0.10179217845995917,0.04559716458534498
C2CD2,0.004703603496078997,-0.025449325147811938,0.043679073550105495
CCNB2,0.029394157250681688,0.022807477340233778,0.04363572131197337
TSEN2,-0.011376906113747887,-0.06745935456415338,0.04282145306691305
CCNA1,0.05950981123175949,-0.11645069078517792,0.04253145504541159
SMAD3,-0.019828452426438103,-0.025592291836205826,0.04248451040261484
PLEKHJ1,-0.06669760117504614,0.03490916717474499,0.04238559135336023
CHMP4A,0.04841596049627915,-0.010975184860962791,0.04158575238260417
INTS3,0.049210836735548186,-0.05963590106234658,0.041470556010913956
MLEC,-0.03232915631066562,0.00562091079452588,0.041265945190168206
TIMELESS,0.057161550484727514,-0.013050964270485157,0.041242276373542254
PYGL,0.05198336194317466,-0.01459804871353875,0.04110040491960568
HADH,0.01022837807743649,-0.03021594376080809,0.04080119802176276
TRAP1,0.03314747921960812,-0.0007068602454246978,0.04077794933368828
SCRN1,-0.009602040914014258,0.0046797616042021095,0.04074200704282286
PTPRF,0.024738345078061365,0.027067280083166587,0.04046634079851129
RPA1,0.007469827136076623,-0.017675786986264347,0.038931267838717705
SOX4,-0.08736442594465783,-0.011580859637523179,0.038639215860125135
RRS1,-0.0026876109376213677,0.003906676366892612,0.03831592417352052
SUV39H1,-0.014982360575143232,0.01812582641690289,0.037860066729469025
AGL,0.002600825863118506,0.0038208715792568894,0.03772530777187046
PECR,0.0,0.03749708582993065,0.03714614260414222
TFDP1,0.0014080240945601149,-0.028149190323342673,0.03710051766214091
STAP2,0.0,0.03713413923010316,0.036786592898972355
CAT,-0.010415371222945396,-0.02777608010921928,0.03671874014591926
PAX8,0.0,0.036467701209007775,0.03612639221349212
RAI14,0.005479189900037678,0.0599829801474453,0.03540710684143514
PDLIM1,0.0,0.0349951876701964,0.03466766024303172
RAB27A,0.004106408201050534,0.006323001078870457,0.03388579564100731
ST3GAL5,-0.007890976705770453,-0.10254633816948565,0.03373815171486054
TGFBR2,-0.0644055000132949,-0.0037888209577196918,0.03317445744737668
